"AGE","WORKCLASS","FNLWGT","EDUCATION","EDUCATIONNUM","MARITALSTATUS","OCCUPATION","RELATIONSHIP","RACE","SEX","CAPITALGAIN","CAPITALLOSS","HOURSPERWEEK","NATIVECOUNTRY","ABOVE50K"
49," Self-emp-not-inc",105614," HS-grad",9," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States",1
44," State-gov",165108," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
36," Federal-gov",106297," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
51," Private",120173," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3103,0,50," United-States",1
49," Local-gov",202467," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",1
41," Private",174575," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,1887,45," United-States",1
51," Local-gov",155118," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,70," United-States",1
35," Private",260578," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States",1
58," Self-emp-not-inc",331474," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,20," United-States",1
33," Local-gov",198183," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,50," United-States",1
44," Private",151089," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1902,50," United-States",1
48," Private",266764," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States",1
70," Private",282642," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,2174,40," United-States",1
71," ?",144872," Some-college",10," Married-civ-spouse"," ?"," Husband"," White"," Male",6514,0,40," United-States",1
28," Private",130067," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
35," Private",214816," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
34," Private",177675," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States",1
45," Private",216932," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
34," Self-emp-inc",265917," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
53," Self-emp-not-inc",284329," Masters",14," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States",1
39," Private",154641," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States",1
24," Self-emp-not-inc",83374," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,30," United-States",1
26," Private",279833," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,2258,45," United-States",1
52," Private",174964," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
37," Private",190987," Some-college",10," Married-civ-spouse"," Sales"," Wife"," White"," Female",7298,0,40," United-States",1
44," State-gov",167265," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
55," Private",171467," HS-grad",9," Divorced"," Craft-repair"," Unmarried"," Black"," Male",0,0,48," United-States",1
48," Private",204629," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
43," Private",345789," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",15024,0,50," United-States",1
25," Private",75759," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,44," United-States",1
90," Private",88991," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," England",1
34," Private",106761," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States",1
39," State-gov",122353," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",1
47," Private",120131," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
25," Private",404616," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
46," Private",189498," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1848,45," United-States",1
54," Private",88278," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1977,50," United-States",1
73," Private",336007," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,2246,40," United-States",1
51," Self-emp-inc",260938," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
46," Private",324655," Masters",14," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1902,40," ?",1
48," Local-gov",195949," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,42," United-States",1
49," State-gov",269417," Doctorate",16," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,2258,50," United-States",1
45," Private",102308," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States",1
33," Private",312881," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,40," United-States",1
58," Federal-gov",244830," Bachelors",13," Separated"," Prof-specialty"," Not-in-family"," White"," Male",4787,0,40," United-States",1
47," Local-gov",198660," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
45," Private",277434," Assoc-acdm",12," Widowed"," Tech-support"," Unmarried"," White"," Male",0,0,40," United-States",1
30," Self-emp-not-inc",176185," Some-college",10," Married-spouse-absent"," Craft-repair"," Own-child"," White"," Male",0,0,60," United-States",1
41," Private",128354," Bachelors",13," Married-civ-spouse"," Tech-support"," Wife"," White"," Female",0,0,25," United-States",1
71," Private",179574," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,12," United-States",1
35," Private",270572," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States",1
33," Private",67072," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States",1
47," Private",30840," Masters",14," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States",1
30," Self-emp-not-inc",250499," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,55," United-States",1
45," Private",266860," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,50," United-States",1
44," Federal-gov",344060," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
31," ?",26553," Bachelors",13," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,25," United-States",1
36," Private",199739," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",7298,0,60," United-States",1
53," Private",95469," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,1902,40," United-States",1
35," Private",125933," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States",1
52," Private",117674," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
30," Private",122889," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,50," India",1
52," Self-emp-inc",230767," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,60," Cuba",1
29," Private",54932," Some-college",10," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,35," United-States",1
59," Private",140569," Some-college",10," Separated"," Sales"," Not-in-family"," White"," Male",14084,0,60," United-States",1
49," Self-emp-not-inc",263568," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",1
60," Self-emp-inc",376133," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",15024,0,15," United-States",1
44," Private",125461," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
48," Private",47343," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
50," Self-emp-not-inc",197054," Prof-school",15," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States",1
54," Private",167770," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,55," United-States",1
55," Private",208311," Masters",14," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1977,20," United-States",1
29," Private",51944," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",4386,0,40," United-States",1
29," Private",112847," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",7298,0,32," United-States",1
40," Private",124692," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
45," Private",175925," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",1
27," Private",305647," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
43," Private",206139," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
38," Private",103323," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7688,0,40," United-States",1
38," Federal-gov",115433," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",7688,0,33," United-States",1
24," Private",43387," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," England",1
47," Private",205730," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,56," United-States",1
46," Private",177633," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,50," United-States",1
40," Federal-gov",78036," Assoc-voc",11," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,65," United-States",1
48," Self-emp-not-inc",243631," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," Amer-Indian-Eskimo"," Male",7688,0,40," United-States",1
45," State-gov",103406," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,60," United-States",1
32," Self-emp-inc",345489," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
30," Private",205659," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,50," Thailand",1
44," Local-gov",83286," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
42," State-gov",367292," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",1
59," Self-emp-not-inc",81107," Some-college",10," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,80," United-States",1
58," Self-emp-inc",154537," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,20," United-States",1
39," Private",211440," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,55," United-States",1
61," Self-emp-not-inc",219183," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
35," Private",186009," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
74," State-gov",88638," Doctorate",16," Never-married"," Prof-specialty"," Other-relative"," White"," Female",0,3683,20," United-States",1
44," Private",157217," Assoc-acdm",12," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
