"","AGE","WORKCLASS","FNLWGT","EDUCATION","EDUCATIONNUM","MARITALSTATUS","OCCUPATION","RELATIONSHIP","RACE","SEX","CAPITALGAIN","CAPITALLOSS","HOURSPERWEEK","NATIVECOUNTRY","ABOVE50K"
"9",31," Private",45781," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",14084,0,50," United-States",1
"12",30," State-gov",141297," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," India",1
"26",56," Local-gov",216851," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States",1
"39",31," Private",84154," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,38," ?",1
"56",43," Private",237993," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States",1
"64",42," Private",116632," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",1
"73",29," Self-emp-not-inc",162298," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,70," United-States",1
"87",49," Local-gov",268234," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",1
"90",43," Federal-gov",410867," Doctorate",16," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,50," United-States",1
"98",37," Private",202683," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,48," United-States",1
"118",49," Local-gov",197371," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States",1
"128",31," Private",114937," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
"140",49," Private",81973," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States",1
"155",52," ?",252903," HS-grad",9," Divorced"," ?"," Not-in-family"," White"," Male",0,0,45," United-States",1
"175",28," State-gov",149624," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"181",44," Local-gov",181344," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,38," United-States",1
"185",37," Federal-gov",29054," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,42," United-States",1
"198",40," Federal-gov",56795," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",14084,0,55," United-States",1
"212",37," Private",208358," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
"266",37," Self-emp-inc",257295," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,75," Thailand",1
"270",33," Private",222205," HS-grad",9," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",0,0,40," United-States",1
"282",42," Local-gov",97688," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",5178,0,40," United-States",1
"286",57," Federal-gov",425161," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",15024,0,40," United-States",1
"310",41," Self-emp-inc",34987," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,54," United-States",1
"312",34," Private",142897," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",7298,0,35," Taiwan",1
"314",36," Self-emp-not-inc",205607," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," Black"," Female",0,0,40," United-States",1
"351",33," Private",117963," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"362",62," Private",270092," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"369",57," Private",212448," Bachelors",13," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,45," United-States",1
"373",40," State-gov",184018," Assoc-voc",11," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,38," United-States",1
"399",25," Private",86872," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
"406",41," Private",445382," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,65," United-States",1
"409",28," ?",123147," Some-college",10," Married-civ-spouse"," ?"," Wife"," White"," Female",0,1887,40," United-States",1
"414",46," Private",188386," Doctorate",16," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States",1
"416",35," Private",92440," 12th",8," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,50," United-States",1
"423",32," State-gov",92003," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States",1
"429",63," Self-emp-inc",222289," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"455",44," Self-emp-not-inc",234885," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,40," United-States",1
"456",40," Private",72887," Assoc-voc",11," Married-civ-spouse"," Machine-op-inspct"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States",1
"490",38," Private",91039," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",15024,0,60," United-States",1
