"","AGE","WORKCLASS","FNLWGT","EDUCATION","EDUCATIONNUM","MARITALSTATUS","OCCUPATION","RELATIONSHIP","RACE","SEX","CAPITALGAIN","CAPITALLOSS","HOURSPERWEEK","NATIVECOUNTRY","ABOVE50K"
"10174",49," Self-emp-not-inc",105614," HS-grad",9," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States",1
"8468",44," State-gov",165108," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"18124",36," Federal-gov",106297," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"1773",51," Private",120173," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3103,0,50," United-States",1
"15376",49," Local-gov",202467," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",1
"15788",41," Private",174575," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,1887,45," United-States",1
"26552",51," Local-gov",155118," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,70," United-States",1
"12163",35," Private",260578," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States",1
"17886",58," Self-emp-not-inc",331474," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,20," United-States",1
"5515",33," Local-gov",198183," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,50," United-States",1
"20513",44," Private",151089," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1902,50," United-States",1
"28818",48," Private",266764," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States",1
"9143",70," Private",282642," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,2174,40," United-States",1
"13043",71," ?",144872," Some-college",10," Married-civ-spouse"," ?"," Husband"," White"," Male",6514,0,40," United-States",1
"24908",28," Private",130067," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
"21984",35," Private",214816," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"6615",34," Private",177675," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States",1
"11754",45," Private",216932," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"11801",34," Self-emp-inc",265917," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"22638",53," Self-emp-not-inc",284329," Masters",14," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States",1
"17552",39," Private",154641," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States",1
"23358",24," Self-emp-not-inc",83374," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,30," United-States",1
"17628",26," Private",279833," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,2258,45," United-States",1
"24436",52," Private",174964," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"13715",37," Private",190987," Some-college",10," Married-civ-spouse"," Sales"," Wife"," White"," Female",7298,0,40," United-States",1
"5538",44," State-gov",167265," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
"25159",55," Private",171467," HS-grad",9," Divorced"," Craft-repair"," Unmarried"," Black"," Male",0,0,48," United-States",1
"28749",48," Private",204629," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
"17969",43," Private",345789," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",15024,0,50," United-States",1
"9039",25," Private",75759," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,44," United-States",1
"15893",90," Private",88991," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," England",1
"30240",34," Private",106761," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States",1
"11420",39," State-gov",122353," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",1
"31068",47," Private",120131," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"22739",25," Private",404616," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"28941",46," Private",189498," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1848,45," United-States",1
"5765",54," Private",88278," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1977,50," United-States",1
"20569",73," Private",336007," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,2246,40," United-States",1
"32053",51," Self-emp-inc",260938," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
"4173",46," Private",324655," Masters",14," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1902,40," ?",1
"10856",48," Local-gov",195949," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,42," United-States",1
"28174",49," State-gov",269417," Doctorate",16," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,2258,50," United-States",1
"25357",45," Private",102308," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States",1
"26927",33," Private",312881," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,40," United-States",1
"19734",58," Federal-gov",244830," Bachelors",13," Separated"," Prof-specialty"," Not-in-family"," White"," Male",4787,0,40," United-States",1
"15962",47," Local-gov",198660," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"25427",45," Private",277434," Assoc-acdm",12," Widowed"," Tech-support"," Unmarried"," White"," Male",0,0,40," United-States",1
"32441",30," Self-emp-not-inc",176185," Some-college",10," Married-spouse-absent"," Craft-repair"," Own-child"," White"," Male",0,0,60," United-States",1
"6678",41," Private",128354," Bachelors",13," Married-civ-spouse"," Tech-support"," Wife"," White"," Female",0,0,25," United-States",1
"10066",71," Private",179574," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,12," United-States",1
"10835",35," Private",270572," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States",1
"6407",33," Private",67072," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States",1
"7672",47," Private",30840," Masters",14," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States",1
"8956",30," Self-emp-not-inc",250499," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,55," United-States",1
"19324",45," Private",266860," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,50," United-States",1
"8250",44," Federal-gov",344060," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"3888",31," ?",26553," Bachelors",13," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,25," United-States",1
"7442",36," Private",199739," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",7298,0,60," United-States",1
"19484",53," Private",95469," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,1902,40," United-States",1
"6824",35," Private",125933," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States",1
"15096",52," Private",117674," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
"21129",30," Private",122889," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,50," India",1
"31150",52," Self-emp-inc",230767," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,60," Cuba",1
"22121",29," Private",54932," Some-college",10," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,35," United-States",1
"14519",59," Private",140569," Some-college",10," Separated"," Sales"," Not-in-family"," White"," Male",14084,0,60," United-States",1
"11688",49," Self-emp-not-inc",263568," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",1
